geocode;UF;name_muni;hierarquia
2312908;CE;Arranjo Populacional de Sobral/CE;Capital Regional C
2700300;AL;Arapiraca;Capital Regional C
2913606;BA;Ilh�us;Capital Regional C
1702109;TO;Aragua�na;Capital Regional C
1502400;PA;Castanhal;Capital Regional C
2903201;BA;Barreiras;Capital Regional C
1100122;RO;Ji-Paran�;Capital Regional C
4203006;SC;Ca�ador;Capital Regional C
2910727;BA;Eun�polis;Capital Regional C
3168606;MG;Te�filo Otoni;Capital Regional C
2606002;PE;Garanhuns;Capital Regional C
4209003;SC;Arranjo Populacional de Joa�aba - Herval d�Oeste/SC;Capital Regional C
1100049;RO;Cacoal;Capital Regional C
3523909;SP;Arranjo Populacional de Itu - Salto/SP;Centro Sub-Regional A
3304201;RJ;Arranjo Populacional de Resende/RJ;Centro Sub-Regional A
1505536;PA;Parauapebas;Centro Sub-Regional A
3520509;SP;Indaiatuba;Centro Sub-Regional A
3543907;SP;Arranjo Populacional de Rio Claro/SP;Centro Sub-Regional A
4208906;SC;Arranjo Populacional de Jaragu� do Sul/SC;Centro Sub-Regional A
3530706;SP;Arranjo Populacional de Mogi Gua�u - Mogi Mirim/SP;Centro Sub-Regional A
4302105;RS;Arranjo Populacional de Bento Gon�alves/RS;Centro Sub-Regional A
5008305;MS;Tr�s Lagoas;Centro Sub-Regional A
5218805;GO;Rio Verde;Centro Sub-Regional A
4118204;PR;Paranagu�;Centro Sub-Regional A
4315602;RS;Rio Grande;Centro Sub-Regional A
4127700;PR;Arranjo Populacional de Toledo/PR;Centro Sub-Regional A
3203205;ES;Linhares;Centro Sub-Regional A
4109401;PR;Guarapuava;Centro Sub-Regional A
5211503;GO;Arranjo Populacional de Itumbiara/GO;Centro Sub-Regional A
3551702;SP;Sert�ozinho;Centro Sub-Regional A
3507605;SP;Bragan�a Paulista;Centro Sub-Regional A
3503307;SP;Araras;Centro Sub-Regional A
3507506;SP;Botucatu;Centro Sub-Regional A
3303401;RJ;Nova Friburgo;Centro Sub-Regional A
3522307;SP;Arranjo Populacional de Itapetininga/SP;Centro Sub-Regional A
4307005;RS;Erechim;Centro Sub-Regional A
3148004;MG;Patos de Minas;Centro Sub-Regional A
4101507;PR;Arapongas;Centro Sub-Regional A
4118501;PR;Arranjo Populacional de Pato Branco/PR;Centro Sub-Regional A
4301602;RS;Arranjo Populacional de Bag�/RS;Centro Sub-Regional A
4104303;PR;Campo Mour�o;Centro Sub-Regional A
4306106;RS;Cruz Alta;Centro Sub-Regional A
4128104;PR;Arranjo Populacional de Umuarama/PR;Centro Sub-Regional A
3201506;ES;Colatina;Centro Sub-Regional A
2900702;BA;Alagoinhas;Centro Sub-Regional A
4310207;RS;Iju�;Centro Sub-Regional A
5107958;MT;Tangar� da Serra;Centro Sub-Regional A
4101408;PR;Apucarana;Centro Sub-Regional A
3549102;SP;Arranjo Populacional de S�o Jo�o da Boa Vista/SP;Centro Sub-Regional A
3534708;SP;Arranjo Populacional de Ourinhos/SP;Centro Sub-Regional A
3504008;SP;Assis;Centro Sub-Regional A
3169901;MG;Arranjo Populacional de Ub�/MG;Centro Sub-Regional A
4108403;PR;Francisco Beltr�o;Centro Sub-Regional A
3105608;MG;Arranjo Populacional de Barbacena/MG;Centro Sub-Regional A
3138203;MG;Arranjo Populacional de Lavras/MG;Centro Sub-Regional A
4214805;SC;Arranjo Populacional de Rio do Sul/SC;Centro Sub-Regional A
4322400;RS;Uruguaiana;Centro Sub-Regional A
4304705;RS;Carazinho;Centro Sub-Regional A
4321600;RS;Arranjo Populacional de Tramanda� - Os�rio/RS;Centro Sub-Regional A
3302205;RJ;Itaperuna;Centro Sub-Regional A
4317202;RS;Santa Rosa;Centro Sub-Regional A
4317509;RS;Arranjo Populacional de Santo �ngelo/RS;Centro Sub-Regional A
2925303;BA;Porto Seguro;Centro Sub-Regional A
3527207;SP;Arranjo Populacional de Lorena/SP;Centro Sub-Regional A
4105508;PR;Cianorte;Centro Sub-Regional A
