MUNIC_RES,ANO,POPULACAO
TO,1992,9016
TO,1992,5191
TO,1992,6156
TO,1992,2114
TO,1992,44648
TO,1992,5196
TO,1992,3502
TO,1992,2129
TO,1992,3668
TO,1992,739
TO,1992,1558
TO,1992,7101
TO,1992,3294
TO,1992,2808
TO,1992,3635
TO,1992,1952
TO,1992,3888
TO,1992,1777
TO,1992,3107
TO,1992,834
TO,1992,4618
TO,1992,2644
TO,1992,2540
TO,1992,3748
TO,1992,6051
TO,1992,9080
TO,1992,1772
TO,1992,11479
TO,1992,2241
TO,1992,35304
TO,1992,21041
TO,1992,1198
TO,1992,9427
MA,1992,85791
MA,1992,4655
MA,1992,19705
MA,1992,19552
MA,1992,19849
MA,1992,10525
MA,1992,23587
MA,1992,19561
MA,1992,10347
MA,1992,43992
MA,1992,34729
MA,1992,25064
MA,1992,99919
MA,1992,22521
MA,1992,42655
MA,1992,91955
MA,1992,29734
MA,1992,21417
MA,1992,41397
MA,1992,27278
MA,1992,22915
MA,1992,21342
MA,1992,12372
MA,1992,15882
MA,1992,32939
MA,1992,22436
MA,1992,24902
MA,1992,32776
MA,1992,148135
MA,1992,15256
MA,1992,57079
MA,1992,111859
MA,1992,40453
MA,1992,35565
MA,1992,69602
MA,1992,41585
MA,1992,19797
MA,1992,7513
MA,1992,30043
MA,1992,23558
MA,1992,12654
MA,1992,15763
MA,1992,28975
MA,1992,16375
MA,1992,10243
MA,1992,22875
MA,1992,5914
MA,1992,54873
MA,1992,12334
MA,1992,20129
MA,1992,20764
MA,1992,14763
MA,1992,283497
MA,1992,43341
MA,1992,54501
MA,1992,15131
MA,1992,47071
MA,1992,19281
MA,1992,13456
MA,1992,12356
MA,1992,9539
MA,1992,9320
MA,1992,11518
MA,1992,10658
MA,1992,18493
MA,1992,25342
MA,1992,17165
MA,1992,14507
MA,1992,16942
MA,1992,25805
MA,1992,19762
MA,1992,18690
MA,1992,7619
MA,1992,4942
MA,1992,16314
MA,1992,15644
MA,1992,15926
MA,1992,30773
MA,1992,22778
MA,1992,14063
MA,1992,27066
MA,1992,50730
MA,1992,29442
MA,1992,13509
MA,1992,31896
MA,1992,83311
MA,1992,27644
MA,1992,19675
MA,1992,24052
MA,1992,42941
MA,1992,6493
MA,1992,7819
MA,1992,18498
MA,1992,28330
MA,1992,41885
MA,1992,5757
MA,1992,25984
MA,1992,66190
MA,1992,118418
MA,1992,47500
MA,1992,21144
MA,1992,21538
MA,1992,17461
MA,1992,15196
MA,1992,28262
MA,1992,24770
MA,1992,34727
MA,1992,6271
MA,1992,20272
MA,1992,25759
MA,1992,711464
MA,1992,25658
MA,1992,31163
MA,1992,14264
MA,1992,18254
MA,1992,13840
MA,1992,10416
MA,1992,6253
MA,1992,23125
MA,1992,36222
MA,1992,40548
MA,1992,43412
MA,1992,23592
MA,1992,32898
MA,1992,42042
MA,1992,50270
MA,1992,31006
MA,1992,59320
PI,1992,5805
PI,1992,16282
PI,1992,8181
PI,1992,4554
PI,1992,15516
PI,1992,35331
PI,1992,16663
PI,1992,6184
PI,1992,9929
PI,1992,4982
PI,1992,5811
PI,1992,5511
PI,1992,12133
PI,1992,6255
PI,1992,42576
PI,1992,4111
PI,1992,6760
PI,1992,20895
PI,1992,11045
PI,1992,8837
PI,1992,3898
PI,1992,18368
PI,1992,5008
PI,1992,8164
PI,1992,30794
PI,1992,6187
PI,1992,7701
PI,1992,5453
PI,1992,5859
PI,1992,63940
PI,1992,27339
PI,1992,10247
PI,1992,11968
PI,1992,22619
PI,1992,27133
PI,1992,3933
PI,1992,4242
PI,1992,6970
PI,1992,7679
PI,1992,4264
PI,1992,25191
PI,1992,6051
PI,1992,11172
PI,1992,12976
PI,1992,12319
PI,1992,6143
PI,1992,5125
PI,1992,4323
PI,1992,9071
PI,1992,15228
PI,1992,4634
PI,1992,36349
PI,1992,4869
PI,1992,4860
PI,1992,51916
PI,1992,5339
PI,1992,5050
PI,1992,7140
PI,1992,9351
PI,1992,10049
PI,1992,9676
PI,1992,3684
PI,1992,13302
PI,1992,7618
PI,1992,7664
PI,1992,13545
PI,1992,11071
PI,1992,5680
PI,1992,23525
PI,1992,4137
PI,1992,4094
PI,1992,14634
PI,1992,29728
PI,1992,5391
PI,1992,4190
PI,1992,5646
PI,1992,28547
PI,1992,36218
PI,1992,6857
PI,1992,4480
PI,1992,12009
PI,1992,27721
PI,1992,1247
PI,1992,11045
PI,1992,6367
PI,1992,9533
PI,1992,7855
PI,1992,6106
PI,1992,7170
PI,1992,37511
PI,1992,14116
PI,1992,5474
PI,1992,4452
PI,1992,11540
PI,1992,12797
PI,1992,125435
PI,1992,4523
PI,1992,5441
PI,1992,27105
PI,1992,44210
PI,1992,75229
PI,1992,10649
PI,1992,16271
PI,1992,25516
PI,1992,58788
PI,1992,14433
PI,1992,2752
PI,1992,6489
PI,1992,6970
PI,1992,16641
PI,1992,5824
PI,1992,9853
PI,1992,9722
PI,1992,3069
PI,1992,4470
PI,1992,4119
PI,1992,7681
PI,1992,5041
PI,1992,5635
PI,1992,3840
PI,1992,5507
PI,1992,6657
PI,1992,5275
PI,1992,6880
PI,1992,7255
PI,1992,34199
PI,1992,4025
PI,1992,5958
PI,1992,6601
PI,1992,5315
PI,1992,4058
PI,1992,24878
PI,1992,11595
PI,1992,23684
PI,1992,8675
PI,1992,22428
PI,1992,13577
PI,1992,5295
PI,1992,613013
PI,1992,36027
PI,1992,16021
PI,1992,20696
PI,1992,4150
PI,1992,8152
CE,1992,8015
CE,1992,46232
CE,1992,49045
CE,1992,13147
CE,1992,8567
CE,1992,4838
CE,1992,13590
CE,1992,25219
CE,1992,5056
CE,1992,9552
CE,1992,51926
CE,1992,22618
CE,1992,9376
CE,1992,17633
CE,1992,10509
CE,1992,7399
CE,1992,19557
CE,1992,24332
CE,1992,5423
CE,1992,14288
CE,1992,14953
CE,1992,19428
CE,1992,13104
CE,1992,27688
CE,1992,36823
CE,1992,26370
CE,1992,48022
CE,1992,34289
CE,1992,51880
CE,1992,23252
CE,1992,61771
CE,1992,15585
CE,1992,12403
CE,1992,17686
CE,1992,21240
CE,1992,13809
CE,1992,47271
CE,1992,12088
CE,1992,8834
CE,1992,22969
CE,1992,10667
CE,1992,10805
CE,1992,15602
CE,1992,17656
CE,1992,66765
CE,1992,15024
CE,1992,14200
CE,1992,7952
CE,1992,6394
CE,1992,17660
CE,1992,1796116
CE,1992,9792
CE,1992,9730
CE,1992,5650
CE,1992,14258
CE,1992,41554
CE,1992,4775
CE,1992,8135
CE,1992,17818
CE,1992,30712
CE,1992,5254
CE,1992,17942
CE,1992,18550
CE,1992,11191
CE,1992,20383
CE,1992,8548
CE,1992,13847
CE,1992,60840
CE,1992,76083
CE,1992,23940
CE,1992,10793
CE,1992,11317
CE,1992,35919
CE,1992,35175
CE,1992,13934
CE,1992,17189
CE,1992,5737
CE,1992,33854
CE,1992,77699
CE,1992,12770
CE,1992,25954
CE,1992,13713
CE,1992,17586
CE,1992,7677
CE,1992,32525
CE,1992,25979
CE,1992,23890
CE,1992,6822
CE,1992,5909
CE,1992,175815
CE,1992,21147
CE,1992,30811
CE,1992,42377
CE,1992,12725
CE,1992,21060
CE,1992,6415
CE,1992,23753
CE,1992,37218
CE,1992,10449
CE,1992,24594
CE,1992,12063
CE,1992,9991
CE,1992,29378
CE,1992,40597
CE,1992,15444
CE,1992,59252
CE,1992,6231
CE,1992,14603
CE,1992,11845
CE,1992,7885
CE,1992,11510
CE,1992,28684
CE,1992,26481
CE,1992,20256
CE,1992,22131
CE,1992,32298
CE,1992,10087
CE,1992,5036
CE,1992,8001
CE,1992,10196
CE,1992,21267
CE,1992,20090
CE,1992,30149
CE,1992,10522
CE,1992,38998
CE,1992,6475
CE,1992,32310
CE,1992,14815
CE,1992,12606
CE,1992,13004
CE,1992,9391
CE,1992,11122
CE,1992,15107
CE,1992,8202
CE,1992,5754
CE,1992,17251
CE,1992,61634
CE,1992,15710
CE,1992,59478
CE,1992,13879
CE,1992,22900
CE,1992,17341
CE,1992,47357
CE,1992,15362
CE,1992,12788
CE,1992,22361
CE,1992,15321
CE,1992,40315
CE,1992,37359
CE,1992,29754
CE,1992,7958
CE,1992,10769
CE,1992,26490
CE,1992,5165
CE,1992,129027
CE,1992,16186
CE,1992,25275
CE,1992,26316
CE,1992,10241
CE,1992,51636
CE,1992,11850
CE,1992,44764
CE,1992,36957
CE,1992,9982
CE,1992,23494
CE,1992,7855
CE,1992,15415
CE,1992,13606
CE,1992,10161
CE,1992,13553
CE,1992,31403
CE,1992,41287
RN,1992,10948
RN,1992,44393
RN,1992,10919
RN,1992,2330
RN,1992,14688
RN,1992,5682
RN,1992,8382
RN,1992,14642
RN,1992,7509
RN,1992,31437
RN,1992,21635
RN,1992,11191
RN,1992,12389
